id,nome,destaque,descricao,imagem
1,HTML,false,Linguagem de marcação para estruturação de páginas web.,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/html5/html5-original.svg
2,CSS,false,Linguagem de estilos para definição do design e layout das páginas web.,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/css3/css3-original.svg
3,JavaScript,false,Linguagem de programação para interatividade em páginas web.,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/javascript/javascript-original.svg
4,TypeScript,true,Superset do JavaScript que adiciona tipagem estática.,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/typescript/typescript-original.svg
5,Node.js,false,Ambiente de execução JavaScript no lado do servidor.,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/nodejs/nodejs-original.svg
6,Java,false,Linguagem de programação orientada a objetos.,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/java/java-original.svg
7,Python,false,Linguagem de programação interpretada de alto nível.,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/python/python-original.svg
8,NestJS,true,Framework para construção de aplicações back-end em Node.js.,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/nestjs/nestjs-plain.svg
9,Express.js,false,Framework web minimalista para Node.js.,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/express/express-original.svg
10,React,true,Biblioteca JavaScript para construção de interfaces de usuário.,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/react/react-original.svg
11,Vue.js,false,Framework progressivo para construção de interfaces de usuário.,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/vuejs/vuejs-original.svg
12,Angular,false,Framework front-end desenvolvido pelo Google.,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/angularjs/angularjs-original.svg
13,Svelte,false,Framework para construção de interfaces reativas.,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/svelte/svelte-original.svg
14,PostgreSQL,false,Sistema de gerenciamento de banco de dados relacional avançado.,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/postgresql/postgresql-original.svg
15,MongoDB,false,Banco de dados NoSQL orientado a documentos.,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/mongodb/mongodb-original.svg
16,GraphQL,false,Linguagem de consulta para APIs que permite obter apenas os dados necessários.,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/graphql/graphql-plain.svg
17,Docker,false,"Plataforma para criação, execução e gerenciamento de containers.",https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/docker/docker-original.svg
18,Kubernetes,false,"Sistema para automação da implantação, escalonamento e operações de containers.",https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/kubernetes/kubernetes-plain.svg
19,Terraform,false,Ferramenta de infraestrutura como código para gerenciamento de recursos na nuvem.,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/terraform/terraform-original.svg
20,Firebase,false,Plataforma de desenvolvimento de aplicativos móveis e web da Google.,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/firebase/firebase-plain.svg
21,React Native,false,Biblioteca para desenvolvimento de aplicativos móveis com React.,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/react/react-original.svg
