id,projetoId,locale,nome,descricao
1,1,en,Kino,"Kino is an application to display favorite movies and authors. Allows exploring movie details and information about directors and authors intuitively."
2,1,pt-BR,Kino,"Kino é uma aplicação para exibir filmes e autores favoritos. Permite explorar detalhes dos filmes e informações sobre diretores e autores de forma intuitiva."
3,2,en,Poupig,"Poupig is a fullstack application for financial data management, developed with Next.js in the frontend, NestJS in the backend, Prisma for ORM and PostgreSQL as database."
4,2,pt-BR,Poupig,"Poupig é uma aplicação fullstack para gerenciamento de dados financeiros, desenvolvida com Next.js no frontend, NestJS no backend, Prisma para ORM e PostgreSQL como banco de dados."
5,3,en,"Convit3 Digital","Convit3 Digital is a platform developed to facilitate the management and sending of digital invitations. It allows the creation, customization and distribution of invitations for events quickly and efficiently."
6,3,pt-BR,"Convit3 Digital","O Convit3 Digital é uma plataforma desenvolvida para facilitar a gestão e envio de convites digitais. Ele permite a criação, personalização e distribuição de convites para eventos de forma rápida e eficiente."
7,4,en,"Gam3r Store","Gam3r Store is a technology e-commerce that offers a wide variety of products, from gadgets and accessories to high-performance gaming equipment. Ideal for those seeking innovation and quality."
8,4,pt-BR,"Gam3r Store","Gam3r Store é um e-commerce de tecnologia que oferece uma ampla variedade de produtos, desde gadgets e acessórios até equipamentos de alta performance para gamers. Ideal para quem busca inovação e qualidade."
9,5,en,"Barba Brutal","Application for scheduling and managing appointments in a barbershop. Developed with NestJS in the backend and Next.js with TypeScript in the frontend."
10,5,pt-BR,"Barba Brutal","Aplicação para agendamento e gerenciamento de horários em uma barbearia. Desenvolvido com NestJS no backend e Next.js com TypeScript no frontend."
11,6,en,"Book Order","Book Order is an application that displays authors, books and other literary data. Developed using HTML, CSS, Svelte and JavaScript, it allows exploring book lists, author biographies and reviews."
12,6,pt-BR,"Ordem Livros","Ordem Livros é uma aplicação que exibe autores, livros e outros dados literários. Desenvolvida utilizando HTML, CSS, Svelte e JavaScript, permite a exploração de listas de livros, biografias dos autores e resenhas."
13,7,en,"Monty Hall","Monty Hall is an application that simulates the Monty Hall problem, a mathematical puzzle that became famous as a probability problem. Developed with React."
14,7,pt-BR,"Monty Hall","Monty Hall é uma aplicação que simula o problema de Monty Hall, um quebra-cabeça matemático que ficou famoso por ser um problema de probabilidade. Desenvolvido com React."
15,8,en,"Monster Slayer","Monster Slayer is a simple game developed with Vue.js. The goal is to kill monsters and earn points. The game has a scoring system and a healing system for the player."
16,8,pt-BR,"Matador de Monstros","Matador de Monstros é um jogo simples desenvolvido com Vue.js. O objetivo é matar monstros e ganhar pontos. O jogo possui um sistema de pontuação e um sistema de cura para o jogador."
17,9,en,"Flappy Bird","Flappy Bird is a simple game developed with HTML, CSS and JavaScript. The goal is to make the bird pass between pipes without colliding. The game has a scoring system and a collision system."
18,9,pt-BR,"Flappy Bird","Flappy Bird é um jogo simples desenvolvido com HTML, CSS e JavaScript. O objetivo é fazer o pássaro passar por entre os canos sem colidir. O jogo possui um sistema de pontuação e um sistema de colisão."
19,10,en,"Tic Tac Toe","Tic Tac Toe is a classic game developed with HTML, CSS and JavaScript. The goal is to form a line with three equal symbols. The game has a scoring system and a victory system."
20,10,pt-BR,"Jogo da Velha","Jogo da Velha é um jogo clássico desenvolvido com HTML, CSS e JavaScript. O objetivo é formar uma linha com três símbolos iguais. O jogo possui um sistema de pontuação e um sistema de vitória."
21,11,en,Quiz,"Quiz is a question and answer application developed with React and ChatGPT. The goal is to correctly answer as many questions as possible."
22,11,pt-BR,Quiz,"Quiz é uma aplicação de perguntas e respostas desenvolvida com React e ChatGPT. O objetivo é responder corretamente o maior número de perguntas possível."
23,12,en,"Chess with AI","AI Chess Battles. The project consists of an application that allows simulating chess matches between two artificial intelligences. Developed with a full stack application in Nextjs."
24,12,pt-BR,"Xadrez com IA","Batalha de IAs no Xadrez. O projeto consiste em uma aplicação que permite a simulação de partidas de xadrez entre duas inteligências artificiais. Desenvolvido com uma aplicação full stack em Nextjs."
25,13,en,"Todo List","A simple task application to organize your day. Developed with React, it allows creating tasks, marking completed tasks and deleting tasks."
