id,tecnologiaId,locale,nome,descricao
1,1,en,HTML,"Markup language for web page structuring."
2,1,pt-BR,HTML,"Linguagem de marcação para estruturação de páginas web."
3,2,en,CSS,"Style language for defining web page design and layout."
4,2,pt-BR,CSS,"Linguagem de estilos para definição do design e layout das páginas web."
5,3,en,JavaScript,"Programming language for web page interactivity."
6,3,pt-BR,JavaScript,"Linguagem de programação para interatividade em páginas web."
7,4,en,TypeScript,"JavaScript superset that adds static typing."
8,4,pt-BR,TypeScript,"Superset do JavaScript que adiciona tipagem estática."
9,5,en,Node.js,"JavaScript runtime environment for server-side development."
10,5,pt-BR,Node.js,"Ambiente de execução JavaScript no lado do servidor."
11,6,en,Java,"Object-oriented programming language."
12,6,pt-BR,Java,"Linguagem de programação orientada a objetos."
13,7,en,Python,"High-level interpreted programming language."
14,7,pt-BR,Python,"Linguagem de programação interpretada de alto nível."
15,8,en,NestJS,"Framework for building back-end applications in Node.js."
16,8,pt-BR,NestJS,"Framework para construção de aplicações back-end em Node.js."
17,9,en,Express.js,"Minimalist web framework for Node.js."
18,9,pt-BR,Express.js,"Framework web minimalista para Node.js."
19,10,en,React,"JavaScript library for building user interfaces."
20,10,pt-BR,React,"Biblioteca JavaScript para construção de interfaces de usuário."
21,11,en,Vue.js,"Progressive framework for building user interfaces."
22,11,pt-BR,Vue.js,"Framework progressivo para construção de interfaces de usuário."
23,12,en,Angular,"Front-end framework developed by Google."
24,12,pt-BR,Angular,"Framework front-end desenvolvido pelo Google."
25,13,en,Svelte,"Framework for building reactive interfaces."
26,13,pt-BR,Svelte,"Framework para construção de interfaces reativas."
27,14,en,PostgreSQL,"Advanced relational database management system."
28,14,pt-BR,PostgreSQL,"Sistema de gerenciamento de banco de dados relacional avançado."
29,15,en,MongoDB,"Document-oriented NoSQL database."
30,15,pt-BR,MongoDB,"Banco de dados NoSQL orientado a documentos."
31,16,en,GraphQL,"Query language for APIs that allows obtaining only the necessary data."
32,16,pt-BR,GraphQL,"Linguagem de consulta para APIs que permite obter apenas os dados necessários."
33,17,en,Docker,"Platform for creating, running and managing containers."
34,17,pt-BR,Docker,"Plataforma para criação, execução e gerenciamento de containers."
35,18,en,Kubernetes,"System for automating deployment, scaling and operations of containers."
36,18,pt-BR,Kubernetes,"Sistema para automação da implantação, escalonamento e operações de containers."
37,19,en,Terraform,"Infrastructure as code tool for cloud resource management."
38,19,pt-BR,Terraform,"Ferramenta de infraestrutura como código para gerenciamento de recursos na nuvem."
39,20,en,Firebase,"Google's mobile and web application development platform."
40,20,pt-BR,Firebase,"Plataforma de desenvolvimento de aplicativos móveis e web da Google."
41,21,en,React Native,"Library for mobile app development with React."
42,21,pt-BR,React Native,"Biblioteca para desenvolvimento de aplicativos móveis com React."
43,22,en,Next.js,"React framework for building web applications."
44,22,pt-BR,Next.js,"Framework React para construção de aplicações web."
45,23,en,Prisma,"ORM for Node.js and TypeScript with support for various databases."
46,23,pt-BR,Prisma,"ORM para Node.js e TypeScript com suporte a diversos bancos de dados."
47,24,en,Supabase,"Open-source platform for web app and API development."
48,24,pt-BR,Supabase,"Plataforma open-source para desenvolvimento de aplicativos web e APIs."
49,25,en,Tailwind CSS,"CSS framework for building user interfaces."
50,25,pt-BR,Tailwind CSS,"Framework CSS para construção de interfaces de usuário."
51,26,en,Flutter,"Framework for native mobile app development."
52,26,pt-BR,Flutter,"Framework para desenvolvimento de aplicativos móveis nativos."
53,27,en,PHP,"General-purpose programming language."
54,27,pt-BR,PHP,"Linguagem de programação de uso geral."
55,28,en,ChatGPT,"GPT-3 based conversation API."
56,28,pt-BR,ChatGPT,"API de conversação baseada em GPT-3."
57,29,en,Dart,"Programming language for mobile app development with Flutter."
58,29,pt-BR,Dart,"Linguagem de programação para desenvolvimento de aplicativos móveis com Flutter."
59,30,en,Clojure,"Functional programming language for JVM with emphasis on immutable data structures."
60,30,pt-BR,Clojure,"Linguagem de programação funcional para JVM com ênfase em estruturas de dados imutáveis."
61,31,en,ClojureScript,"Clojure compiler targeting JavaScript for web development."
62,31,pt-BR,ClojureScript,"Compilador Clojure que tem como alvo JavaScript para desenvolvimento web."
63,32,en,Go,"High-performance systems programming language with native concurrency support."
64,32,pt-BR,Go,"Linguagem de programação de sistemas de alto desempenho com suporte nativo a concorrência."
65,33,en,Julia,"High-level programming language for numerical analysis and scientific computing."
66,33,pt-BR,Julia,"Linguagem de programação de alto nível para análise numérica e computação científica."
67,34,en,Kafka,"Distributed streaming platform for building real-time data pipelines."
68,34,pt-BR,Kafka,"Plataforma distribuída de streaming para construção de pipelines de dados em tempo real."
69,35,en,Prometheus,"Monitoring and alerting toolkit for cloud-native applications."
70,35,pt-BR,Prometheus,"Kit de ferramentas de monitoramento e alertas para aplicações cloud-native."
71,36,en,Grafana,"Interactive analysis and visualization platform."
72,36,pt-BR,Grafana,"Plataforma de análise e visualização interativa."
73,37,en,gRPC,"High-performance RPC framework for service communication."
74,37,pt-BR,gRPC,"Framework RPC de alto desempenho para comunicação entre serviços."
75,38,en,Cadence,"Distributed orchestration platform for building scalable applications."
76,38,pt-BR,Cadence,"Plataforma de orquestração distribuída para construção de aplicações escaláveis."
77,39,en,Babashka,"Fast-starting Clojure for shell scripting."
78,39,pt-BR,Babashka,"Clojure de inicialização rápida para scripts shell."
79,40,en,ClojureDart,"Clojure compiler targeting Dart for mobile development."
80,40,pt-BR,ClojureDart,"Compilador Clojure com alvo em Dart para desenvolvimento mobile."
81,41,en,REST APIs,"Architectural style for distributed systems and web services."
82,41,pt-BR,APIs REST,"Estilo arquitetural para sistemas distribuídos e serviços web."
83,42,en,Docker Compose,"Tool for defining and running multi-container Docker applications."
84,42,pt-BR,Docker Compose,"Ferramenta para definição e execução de aplicações Docker multi-container."
85,43,en,Kubernetes,"Container orchestration platform for automating deployment and scaling."
86,43,pt-BR,Kubernetes,"Plataforma de orquestração de containers para automatizar implantação e escala."
87,44,en,RedPanda,"Modern streaming platform compatible with Kafka protocol."
88,44,pt-BR,RedPanda,"Plataforma moderna de streaming compatível com protocolo Kafka."
89,45,en,CLI,"Command Line Interface development for system automation."
90,45,pt-BR,CLI,"Desenvolvimento de Interface de Linha de Comando para automação de sistemas."
91,46,en,JVM,"Java Virtual Machine runtime environment."
92,46,pt-BR,JVM,"Ambiente de execução da Máquina Virtual Java."
93,47,en,Linux,"Open-source operating system and development environment."
94,47,pt-BR,Linux,"Sistema operacional e ambiente de desenvolvimento open-source."
95,48,en,Postman,"Platform for API development and testing."
96,48,pt-BR,Postman,"Plataforma de desenvolvimento e teste de APIs."
97,49,en,Swagger,"Tools for API documentation and design."
98,49,pt-BR,Swagger,"Ferramentas para documentação e design de APIs." 
